REF_AREA,TIME_PERIOD,co2_tonnes_monthly,year,country_label
AUS,2022-01,12068345.85022666,2022,Australia
AUS,2022-02,10378855.572053235,2022,Australia
AUS,2022-03,11849034.067554604,2022,Australia
AUS,2022-04,11578189.054214206,2022,Australia
AUS,2022-05,12501257.995404683,2022,Australia
AUS,2022-06,11975841.985035492,2022,Australia
AUS,2022-07,11476260.03411891,2022,Australia
AUS,2022-08,12057103.940213984,2022,Australia
AUS,2022-09,11915604.219837446,2022,Australia
AUS,2022-10,11960132.904922219,2022,Australia
AUS,2022-11,10873104.073164899,2022,Australia
AUS,2022-12,11097602.1595734,2022,Australia
AUS,2023-01,10212377.18189308,2023,Australia
AUS,2023-02,9548396.631866194,2023,Australia
AUS,2023-03,11197494.811365131,2023,Australia
AUS,2023-04,10693234.060786033,2023,Australia
AUS,2023-05,10768735.538569681,2023,Australia
AUS,2023-06,10784872.05590355,2023,Australia
AUS,2023-07,10754636.637867657,2023,Australia
AUS,2023-08,10531488.32857817,2023,Australia
AUS,2023-09,10088996.258694049,2023,Australia
AUS,2023-10,10625341.1810784,2023,Australia
AUS,2023-11,10485704.556311136,2023,Australia
AUS,2023-12,10823246.713579247,2023,Australia
AUS,2024-01,10446117.46715319,2024,Australia
AUS,2024-02,10095034.640691549,2024,Australia
AUS,2024-03,11066294.538075125,2024,Australia
AUS,2024-04,10788245.766946891,2024,Australia
AUS,2024-05,10769363.945861232,2024,Australia
AUS,2024-06,10756307.802740272,2024,Australia
AUS,2024-07,10419391.889052177,2024,Australia
AUS,2024-08,10388212.85123921,2024,Australia
AUS,2024-09,10506694.846634356,2024,Australia
AUS,2024-10,10597049.425218748,2024,Australia
AUS,2024-11,10567851.313194755,2024,Australia
AUS,2024-12,10716116.992753146,2024,Australia
AUS,2025-01,9915154.003033077,2025,Australia
AUS,2025-02,8707679.775924701,2025,Australia
AUS,2025-03,10678273.424071884,2025,Australia
AUS,2025-04,10481363.893837564,2025,Australia
AUS,2025-05,10415412.421656756,2025,Australia
AUS,2025-06,10494809.435220772,2025,Australia
AUS,2025-07,10579170.450611008,2025,Australia
AUS,2025-08,10072150.204373358,2025,Australia
AUS,2025-09,10519783.928275906,2025,Australia
AUS,2025-10,10212867.8392365,2025,Australia
AUS,2025-11,9110383.277755097,2025,Australia
AUS,2025-12,6215758.853433931,2025,Australia
CHN,2022-01,47043411.868509576,2022,China (Shanghai proxy)
CHN,2022-02,41269645.01861524,2022,China (Shanghai proxy)
CHN,2022-03,47251455.12593471,2022,China (Shanghai proxy)
CHN,2022-04,46207190.50735398,2022,China (Shanghai proxy)
CHN,2022-05,49261082.31078999,2022,China (Shanghai proxy)
CHN,2022-06,48178309.412556715,2022,China (Shanghai proxy)
CHN,2022-07,49701528.228073105,2022,China (Shanghai proxy)
CHN,2022-08,49764567.183330916,2022,China (Shanghai proxy)
CHN,2022-09,46870944.9634657,2022,China (Shanghai proxy)
CHN,2022-10,49416859.69655958,2022,China (Shanghai proxy)
CHN,2022-11,49872994.44660452,2022,China (Shanghai proxy)
CHN,2022-12,48911260.9710143,2022,China (Shanghai proxy)
CHN,2023-01,50130975.916043416,2023,China (Shanghai proxy)
CHN,2023-02,41939594.94926034,2023,China (Shanghai proxy)
CHN,2023-03,49401091.35948893,2023,China (Shanghai proxy)
CHN,2023-04,48655200.82502493,2023,China (Shanghai proxy)
CHN,2023-05,51121193.98224496,2023,China (Shanghai proxy)
CHN,2023-06,50685467.665619016,2023,China (Shanghai proxy)
CHN,2023-07,49962502.306177065,2023,China (Shanghai proxy)
CHN,2023-08,51163559.417751126,2023,China (Shanghai proxy)
CHN,2023-09,51238113.83190119,2023,China (Shanghai proxy)
CHN,2023-10,50062573.58298069,2023,China (Shanghai proxy)
CHN,2023-11,48904422.72042456,2023,China (Shanghai proxy)
CHN,2023-12,49735116.274828725,2023,China (Shanghai proxy)
CHN,2024-01,55824197.67820986,2024,China (Shanghai proxy)
CHN,2024-02,47485505.61667064,2024,China (Shanghai proxy)
CHN,2024-03,52935883.17639696,2024,China (Shanghai proxy)
CHN,2024-04,52809851.19853014,2024,China (Shanghai proxy)
CHN,2024-05,54839181.98553919,2024,China (Shanghai proxy)
CHN,2024-06,53867489.872198716,2024,China (Shanghai proxy)
CHN,2024-07,54576403.71179186,2024,China (Shanghai proxy)
CHN,2024-08,55180755.17466511,2024,China (Shanghai proxy)
CHN,2024-09,52314246.86949342,2024,China (Shanghai proxy)
CHN,2024-10,54418219.80391428,2024,China (Shanghai proxy)
CHN,2024-11,53159596.66505458,2024,China (Shanghai proxy)
CHN,2024-12,62417385.8194157,2024,China (Shanghai proxy)
CHN,2025-01,56212092.73979048,2025,China (Shanghai proxy)
CHN,2025-02,45188641.78577912,2025,China (Shanghai proxy)
CHN,2025-03,52665604.80289294,2025,China (Shanghai proxy)
CHN,2025-04,54652750.8734361,2025,China (Shanghai proxy)
CHN,2025-05,57033764.89744594,2025,China (Shanghai proxy)
CHN,2025-06,55874598.05831055,2025,China (Shanghai proxy)
CHN,2025-07,57455274.09616478,2025,China (Shanghai proxy)
CHN,2025-08,59155555.60973428,2025,China (Shanghai proxy)
CHN,2025-09,57855000.8277733,2025,China (Shanghai proxy)
CHN,2025-10,55193032.22761739,2025,China (Shanghai proxy)
CHN,2025-11,56482883.67553494,2025,China (Shanghai proxy)
CHN,2025-12,49764604.92198924,2025,China (Shanghai proxy)
NLD,2022-01,9583087.635251611,2022,Netherlands (Rotterdam proxy)
NLD,2022-02,8636207.64163695,2022,Netherlands (Rotterdam proxy)
NLD,2022-03,9951810.194424817,2022,Netherlands (Rotterdam proxy)
NLD,2022-04,9562309.5252158,2022,Netherlands (Rotterdam proxy)
NLD,2022-05,9655713.56632147,2022,Netherlands (Rotterdam proxy)
NLD,2022-06,9174696.952495623,2022,Netherlands (Rotterdam proxy)
NLD,2022-07,9708969.202919276,2022,Netherlands (Rotterdam proxy)
NLD,2022-08,9681302.835259182,2022,Netherlands (Rotterdam proxy)
NLD,2022-09,9342248.979008913,2022,Netherlands (Rotterdam proxy)
NLD,2022-10,9860883.59637093,2022,Netherlands (Rotterdam proxy)
NLD,2022-11,9261221.493001817,2022,Netherlands (Rotterdam proxy)
NLD,2022-12,9699799.837304872,2022,Netherlands (Rotterdam proxy)
NLD,2023-01,9547632.860645205,2023,Netherlands (Rotterdam proxy)
NLD,2023-02,8935657.103370817,2023,Netherlands (Rotterdam proxy)
NLD,2023-03,9716710.30878289,2023,Netherlands (Rotterdam proxy)
NLD,2023-04,9628854.23138466,2023,Netherlands (Rotterdam proxy)
NLD,2023-05,9705239.429802867,2023,Netherlands (Rotterdam proxy)
NLD,2023-06,9218851.034312649,2023,Netherlands (Rotterdam proxy)
NLD,2023-07,9345664.787942734,2023,Netherlands (Rotterdam proxy)
NLD,2023-08,9087824.552251486,2023,Netherlands (Rotterdam proxy)
NLD,2023-09,8656148.177217145,2023,Netherlands (Rotterdam proxy)
NLD,2023-10,9062232.724406313,2023,Netherlands (Rotterdam proxy)
NLD,2023-11,8983099.264730074,2023,Netherlands (Rotterdam proxy)
NLD,2023-12,9145857.986640118,2023,Netherlands (Rotterdam proxy)
NLD,2024-01,9682489.950374525,2024,Netherlands (Rotterdam proxy)
NLD,2024-02,9173022.94822882,2024,Netherlands (Rotterdam proxy)
NLD,2024-03,10058279.874453008,2024,Netherlands (Rotterdam proxy)
NLD,2024-04,9764659.993970565,2024,Netherlands (Rotterdam proxy)
NLD,2024-05,9928140.14094566,2024,Netherlands (Rotterdam proxy)
NLD,2024-06,9052250.550302478,2024,Netherlands (Rotterdam proxy)
NLD,2024-07,9242953.952646442,2024,Netherlands (Rotterdam proxy)
NLD,2024-08,9248589.373884125,2024,Netherlands (Rotterdam proxy)
NLD,2024-09,8888411.025562204,2024,Netherlands (Rotterdam proxy)
NLD,2024-10,9409107.092642322,2024,Netherlands (Rotterdam proxy)
NLD,2024-11,9401334.296677636,2024,Netherlands (Rotterdam proxy)
NLD,2024-12,9444776.466191467,2024,Netherlands (Rotterdam proxy)
NLD,2025-01,8943585.173121724,2025,Netherlands (Rotterdam proxy)
NLD,2025-02,8398037.1277959,2025,Netherlands (Rotterdam proxy)
NLD,2025-03,9356022.1474914,2025,Netherlands (Rotterdam proxy)
NLD,2025-04,9207418.430880653,2025,Netherlands (Rotterdam proxy)
NLD,2025-05,9372047.400682721,2025,Netherlands (Rotterdam proxy)
NLD,2025-06,9079547.891725212,2025,Netherlands (Rotterdam proxy)
NLD,2025-07,9898613.82431852,2025,Netherlands (Rotterdam proxy)
NLD,2025-08,9766191.700266166,2025,Netherlands (Rotterdam proxy)
NLD,2025-09,9404353.87024822,2025,Netherlands (Rotterdam proxy)
NLD,2025-10,9372894.432684882,2025,Netherlands (Rotterdam proxy)
