OID_,World Port Index Number,Region Name,Main Port Name,Alternate Port Name,UN/LOCODE,Country Code,World Water Body,IHO S-130 Sea Area,Sailing Direction or Publication,Publication Link,Standard Nautical Chart,IHO S-57 Electronic Navigational Chart,IHO S-101 Electronic Navigational Chart,Digital Nautical Chart,Tidal Range (m),Entrance Width (m),Channel Depth (m),Anchorage Depth (m),Cargo Pier Depth (m),Oil Terminal Depth (m),Liquified Natural Gas Terminal Depth (m),Maximum Vessel Length (m),Maximum Vessel Beam (m),Maximum Vessel Draft (m),Offshore Maximum Vessel Length (m),Offshore Maximum Vessel Beam (m),Offshore Maximum Vessel Draft (m),Harbor Size,Harbor Type,Harbor Use,Shelter Afforded,Entrance Restriction - Tide,Entrance Restriction - Heavy Swell,Entrance Restriction - Ice,Entrance Restriction - Other,Overhead Limits,Underkeel Clearance Management System,Good Holding Ground,Turning Area,Port Security,Estimated Time of Arrival Message,Quarantine - Pratique,Quarantine - Sanitation,Quarantine - Other,Traffic Separation Scheme,Vessel Traffic Service,First Port of Entry,US Representative,Pilotage - Compulsory,Pilotage - Available,Pilotage - Local Assistance,Pilotage - Advisable,Tugs - Salvage,Tugs - Assistance,Communications - Telephone,Communications - Telefax,Communications - Radio,Communications - Radiotelephone,Communications - Airport,Communications - Rail,Search and Rescue,NAVAREA,Facilities - Wharves,Facilities - Anchorage,Facilities - Dangerous Cargo Anchorage,Facilities - Med Mooring,Facilities - Beach Mooring,Facilities - Ice Mooring,Facilities - Ro-Ro,Facilities - Solid Bulk,Facilities - Liquid Bulk,Facilities - Container,Facilities - Breakbulk,Facilities - Oil Terminal,Facilities - LNG Terminal,Facilities - Other,Medical Facilities,Garbage Disposal,Chemical Holding Tank Disposal,Degaussing,Dirty Ballast Disposal,Cranes - Fixed,Cranes - Mobile,Cranes - Floating,Cranes Container,Lifts - 100+ Tons,Lifts - 50-100 Tons,Lifts - 25-49 Tons,Lifts - 0-24 Tons,Services - Longshoremen,Services - Electricity,Services -Steam,Services - Navigation Equipment,Services - Electrical Repair,Services - Ice Breaking,Services -Diving,Supplies - Provisions,Supplies - Potable Water,Supplies - Fuel Oil,Supplies - Diesel Oil,Supplies - Aviation Fuel,Supplies - Deck,Supplies - Engine,Repairs,Dry Dock,Railway,Latitude,Longitude
62.0,35835.0,France NW Coast -- 35720,Port Du Havre-Antifer, , ,France,English Channel; North Atlantic Ocean, ,Sailing Directions Pub. 191 (Enroute) - English Channel,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub191bk.pdf&type=view,37261.0, , ,"a2035840, coa20c, gen20b",7.0,0.0,23.2,23.2,0.0,23.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Small,Coastal (Breakwater),Unknown,Fair,Yes,Yes,Unknown,Yes,No,Unknown,Yes,Yes,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Unknown,Unknown,Yes,Yes,Yes,Yes,Yes,Unknown,Yes,Unknown,Unknown,I,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,49.65,0.15
76.0,9240.0,US Gulf Coast -- 8650,Houston, ,US HOU,United States,Gulf of Mexico; North Atlantic Ocean, ,U.S. Coast Pilot 5 - Gulf of Mexico Puerto Rico and Virgin Islands,https://nauticalcharts.noaa.gov/publications/coast-pilot/files/cp5/CPB5_WEB.pdf,11325.0, , ,"coa15a, gen15, h1509150",0.0,0.0,14.0,9.4,7.9,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Large,River (Tide Gates),Unknown,Good,No,No,No,Yes,Yes,Unknown,Yes,Yes,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Unknown,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,IV,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Yes,Yes,Yes,Yes,Unknown,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,Unknown,Yes,Yes,Yes,Yes,Unknown,Yes,Yes,Major,Medium,Medium,29.75,-95.28333300000001
81.0,60250.0,China Continued -- 59850,Dalian,Dairen; Dalian; Dalian Wan; Ta Cien; Ta Lien,CN DAL,China,Yellow Sea; North Pacific Ocean, ,Sailing Directions Pub. 157 (Enroute) - Coasts of Korea and China,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub157bk.pdf&type=view,94423.0, , ,"a2360240, coa23e, gen23a, h2360250",3.0,0.0,23.2,23.2,17.1,23.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Large,Coastal (Breakwater),Unknown,Good,No,Yes,Yes,Yes,Unknown,Unknown,Yes,Yes,Unknown,Yes,Yes,Unknown,Yes,Unknown,Unknown,Yes,No,Yes,Yes,Unknown,Yes,Unknown,Yes,Unknown,Unknown,Yes,Yes,Yes,Yes,Unknown,XI,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Yes,Yes,Yes,Yes,Unknown,Yes,Yes,Yes,Unknown,Yes,Yes,Unknown,Yes,Yes,Unknown,Unknown,Yes,Yes,Yes,Unknown,Unknown,Yes,Yes,Major,Medium,Medium,38.916667,121.666667
82.0,48076.0,Israel -- 48075,Elat,Eilat; Elath,IL ETH,Israel,Gulf of Aqaba; Red Sea; Indian Ocean, ,Sailing Directions Pub. 172 (Enroute) - Red Sea and the Persian Gulf,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub172bk.pdf&type=view,62225.0, , ,"coa10f, gen10c, h1048090",1.0,0.0,23.2,23.2,9.4,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Small,Coastal (Natural),Unknown,Fair,No,No,No,Yes,Unknown,Unknown,Unknown,Yes,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Yes,No,Yes,Unknown,Unknown,Unknown,Yes,Yes,Yes,Unknown,Yes,Yes,Yes,Unknown,Unknown,IX,Yes,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Unknown,Yes,Yes,Limited,Small,Small,29.55,34.95
87.0,45820.0,Senegal -- 45817,Dakar, ,SN DKR,Senegal,North Atlantic Ocean, ,Sailing Directions Pub. 143 (Enroute) - West Coast of Europe and Northwest Africa,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub143bk.pdf&type=view,51559.0, , ,"a0145820, coa01b, gen01a, h0145820",2.0,0.0,11.0,14.0,4.9,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Medium,Coastal (Breakwater),Unknown,Good,No,Yes,No,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Yes,Yes,Yes,Yes,Unknown,Unknown,Yes,Yes,Yes,Yes,Unknown,Yes,Yes,Yes,Yes,Unknown,Yes,Yes,Yes,Yes,Unknown,II,Yes,Yes,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Yes,Yes,Yes,Yes,Unknown,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,Unknown,Yes,Yes,Yes,Yes,Unknown,Yes,Yes,Moderate,Medium,Large,14.683333,-17.433333
91.0,41550.0,Croatia -- 40877,Dubrovnik,Ragusa,HR DBV,Croatia,Adriatic Sea; Mediterranean Sea; North Atlantic Ocean, ,Sailing Directions Pub. 132 (Enroute) - Eastern Mediterranean,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub132bk.pdf&type=view,54222.0, , ,"a0941320, coa09c, gen09, h0941540",1.0,0.0,23.2,23.2,3.4,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Small,Coastal (Natural),Unknown,Fair,No,Yes,No,Yes,Unknown,Unknown,No,No,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Yes,No,Yes,Yes,Unknown,Yes,No,No,Unknown,Unknown,Yes,Yes,Yes,Unknown,Unknown,III,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Unknown,No,No,Limited,Unknown,Small,42.666667,18.083333
94.0,37770.0,Spain N Coast -- 37270,La Coruna, ,ES LCG,Spain,North Atlantic Ocean, ,Sailing Directions Pub. 143 (Enroute) - West Coast of Europe and Northwest Africa,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub143bk.pdf&type=view,37506.0, , ,"a0837770, coa08c, gen08b, h0837770",4.0,0.0,17.1,12.5,15.5,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Small,Coastal (Natural),Unknown,Excellent,No,Yes,No,Yes,No,Unknown,Unknown,Yes,Unknown,Yes,Unknown,Yes,Yes,Unknown,Unknown,Yes,Yes,Yes,Yes,Unknown,Yes,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Yes,Yes,Unknown,II,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Yes,Yes,Yes,Yes,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,Unknown,Yes,Yes,Limited,Small,Large,43.366667,-8.4
99.0,45819.0,Senegal -- 45817,M Bao Oil Terminal, ,SN MBA,Senegal,North Atlantic Ocean, ,Sailing Directions Pub. 143 (Enroute) - West Coast of Europe and Northwest Africa,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub143bk.pdf&type=view,51559.0, , ,"a0145820, coa01b, gen01a, h0145820",1.0,0.0,0.0,18.6,14.0,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Very Small,Open Roadstead,Unknown,Poor,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Yes,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Yes,Yes,Unknown,Yes,Unknown,Yes,Unknown,Unknown,Yes,Unknown,No,No,Unknown,II,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Yes,No,Unknown,Unknown,Unknown,Unknown,Moderate,Unknown,Unknown,14.716667,-17.4
102.0,37960.0,Portugal -- 37930,Oporto,Douro,PT DOU,Portugal,North Atlantic Ocean, ,Sailing Directions Pub. 143 (Enroute) - West Coast of Europe and Northwest Africa,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub143bk.pdf&type=view,51109.0, , ,"a0837950, coa08d, gen08b, h0837950",7.0,0.0,3.4,15.5,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Very Small,River (Natural),Unknown,Good,No,Yes,No,Yes,Yes,Unknown,No,No,Unknown,Yes,Yes,No,Yes,Unknown,Unknown,Yes,Yes,Yes,Unknown,Unknown,Yes,No,Yes,Unknown,Unknown,Yes,Yes,Yes,Yes,Unknown,II,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,No,Yes,Yes,Unknown,Unknown,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Limited,Unknown,Small,41.15,-8.666667
105.0,39820.0,Italy West Coast Cont -- 39730,Fiumicino,Rome,IT FCO,Italy,Tyrrhenian Sea; Mediterranean Sea; North Atlantic Ocean, ,Sailing Directions Pub. 131 (Enroute) - Western Mediterranean,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub131bk.pdf&type=view,53147.0, , ,"a0939830, coa09b, gen09",0.0,0.0,3.4,23.2,3.4,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Small,Canal or Lake,Unknown,Fair,No,Yes,No,Yes,Yes,Unknown,Yes,No,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Yes,No,Yes,Yes,Unknown,Yes,Unknown,Yes,Yes,Yes,Yes,Unknown,Yes,Yes,Unknown,III,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Yes,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,No,No,Unknown,Unknown,Unknown,Limited,Unknown,Small,41.772,12.214
