VESSEL,Registros,Promedio,Máximo,Mínimo
CONTAINER,960,6096959.78,22050421.6,63558.05
BULK_CARRIER,960,5000894.88,18445716.86,80595.85
OIL_TANKER,960,3668855.88,13705350.53,131341.27
CHEM_TANKER,960,1931881.89,6752597.25,69463.66
GEN_CARGO,960,1202064.11,4277265.58,65698.72
LIQ_GAS_TANKER,960,1133370.8,4154592.96,34308.12
CRUISE,960,1027625.87,3156778.53,85769.52
VEHICLE,960,760054.65,2453171.24,33863.63
FERRY_ROPAX,960,734770.43,2939456.8,37187.08
ALL_VESSELS,73876,501173.67,86124736.75,0.0
RO_RO,960,494225.02,1745187.21,21121.36
ALL_VESSELSXMISC_FISH,65550,408600.6,70946645.64,0.03
OFFSHORE,960,395292.43,1640766.33,10482.22
MISC_OTHER,960,387367.65,1623119.85,12250.77
MISC_FISH,960,362436.64,1576288.13,12496.77
REFRIG_BULK,960,276771.26,957254.0,5123.12
SERVICE_TUG,960,202130.43,943297.89,3654.26
YACHT,960,64840.57,304124.62,721.76
FERRY_PAX,960,58250.57,296263.28,343.67
OTHER_LIQ_TANKER,904,23331.99,88615.43,1.24
SERVICE_OTHER,954,14496.33,88978.27,16.79
